学校名称,研究生院网址,专业目录URL,分数线URL
四川大学,https://yz.scu.edu.cn/,https://yz.scu.edu.cn/sszyml/index,https://yz.scu.edu.cn/zsxx/Details/da48edca-404a-409b-b783-f072b0ee8f8f
电子科技大学,https://yz.uestc.edu.cn/,https://yzbm.uestc.edu.cn/zsml/sszsml/index/2025,https://yz.uestc.edu.cn/xxcx/sslnfsfsx.htm
西南交通大学,https://yz.swjtu.edu.cn/,,
西南财经大学,https://yjs.swufe.edu.cn/,,
四川师范大学,https://yjsy.sicnu.edu.cn/,,
成都理工大学,https://gra.cdut.edu.cn/,,
西南科技大学,https://graduate.swust.edu.cn/,,
成都信息工程大学,https://yjsc.cuit.edu.cn/,https://yjsc.cuit.edu.cn/list.jsp?urltype=tree.TreeTempUrl&wbtreeid=1107,
西华大学,https://yanjiusheng.xhu.edu.cn/,,
成都大学,https://yjsc.cdu.edu.cn/,https://yjsc.cdu.edu.cn/yjszs/zsjz.htm,
