        院校,院校简介,计算机评级,招生院系,专业代码,初试科目,参考书,复试科目,24招生人数,24复试线,23复试线,23拟录取情况,24拟录取情况,24拟录取名单,学费学制,
"内蒙古大学
211",内蒙古大学（Inner Mongolia University），简称“内大”（IMU），坐落于内蒙古呼和浩特市，是教育部与内蒙古自治区人民政府部区合建的全国重点大学，是国家“双一流”建设高校、国家“211工程”建设高校、内蒙古自治区一流大学建设支持高校、中西部“一省一校”国家重点建设大学,第四轮评级：计算机B-，软件工程C-。,"计算机学院
24改考",085400电子信息-计算机技术,"① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④ 408计算机学科专业基础",,"高级语言程序设计(C++或Java任选)
初试成绩与复试成绩各占总成绩权重的50%。",57,264,这些信息就不整理了，没啥意义，24改考了408,,264-346,拟录取名单：https://gs.imu.edu.cn/info/1020/1761.htm,"学制：3年
全日制学术学位，每生每年8000元。全日制专业学位，每生每年12000元。",
,,,,085400电子信息-软件工程,,,,32,,,,263-354,,,
,,,,085400电子信息-人工智能,,,,33,,,,264-362,,,
,,,,085400电子信息-大数据技术与工程,,,,25,,,,264-327,,,
,,,,085400电子信息-网络与信息安全,,,,10,,,,262-302,,,
昆明理工大学,昆明理工大学位于云南省昆明市，是云南省综合性重点大学，由国防科技工业局与云南省人民政府共建高校，入选“中西部高校基础能力建设工程”、国家建设高水平大学公派研究生项目、教育部“卓越工程师教育培养计划”、中国政府奖学金来华留学生接收院校、全国首批深化创新创业教育改革示范高校、高等学校科技成果转化和技术转移基地、数据中国“百校工程”、“高等学校学科创新引智计划”，国家创新人才培养示范基地，建立国家国际技术转移中心的高校，CDIO工程教育联盟成员单位,计算机无评价，软件无评级。,信息工程与自动化学院,085400电子信息-计算机技术,"① 101 思想政治理论
② 202 英语（二）
③ 302 数学（二）
④ 891 计算机专业核心综合
",,"1）F003计算机核心课程综合
2）外语(口语、听力、翻译)
3）综合面试
初复试占比6：4",90,"最低分：263
最高分：374",302/35/53,"一志愿进复试148+2专项,拟录取106+2专项
一志愿进复试均分334
最高分405,最低分305
一志愿拟录取均分340
最高分405,最低分306","拟录取名单：https://www.kmust.edu.cn/info/1166/48574.htm

一志愿复试名单：https://www.kmust.edu.cn/info/1166/48194.htm",学制：全日制、非全日制学术硕士：8000元/生·学年；全日制专业硕士：资源与环境、电子信息、机械、材料与化工、能源动力、土木水利、生物与医药、交通运输8000元/生·学年。,,
,,,,085400电子信息-软件工程,,,,27,"最低分：268
最高分：297",320/35/53,"一志愿复试47人,拟录取32人
一志愿进复试均分343
最高分414,最低分320
一志愿拟录取均分349
最高分395,最低分312",,,,
,,,,085400电子信息-人工智能,,,,40,"最低分：266
最高分：346",312/35/53,"一志愿进复试89+1专项,拟录取63人
一志愿进复试均分334
最高分395,最低分312
一志愿拟录取均分339
最高分395,最低分312",,,,
云南大学,云南大学（Yunnan University）简称云大（YNU），位于昆明市，是教育部与云南省“以部为主、部省合建”的全国重点大学，世界一流大学建设高校，入选211工程、一省一校、中西部高校基础能力建设工程，云南省重点支持的国家一流大学建设高校。,第四轮评级：计算机B-，软件工程B-。,信息学院,085404电子信息-计算机技术,"① 101 思想政治理论
② 202 英语（二）
③ 302 数学（二）
④ 408 计算机学科专业基础  ",,"专业技能(C/C++、Java或Python上机编程)
初复试占比6：4",23,286,300/35/53,"一志愿进复试68+1专项,计划招生45+1专项
一志愿复试均分333","一志愿复试名单：http://www.grs.ynu.edu.cn/info/1008/4633.htm
拟录取名单：http://www.grs.ynu.edu.cn/info/1008/4714.htm","学制：3年
学费：全日制学术学位硕士研究生：8000元/学年
全日制专业学位硕士研究生：8000元/学年（计算机）10000元/学年（软件）",296-330,
,,,,085400电子信息-人工智能,,,,23,296,294/35/53,"一志愿进复试63人,计划招生44人
一志愿复试均分333",,,296-361,
,,,软件学院,085400电子信息-软件工程,,,上机考试:编程语言可在Java、Python、C等常用编程语言中选择,40,296,285/35/53,"一志愿进复试173+3专项,预计招生124+1专项
一志愿复试均分319",,,297-358,
,,,,085400电子信息-网络与信息安全,,,,23,270,,,,,275-348,
