院校名称,院校简介,计算机评级,招生院系,专业代码,初试科目,参考书,复试科目,24招生人数,24复试线,23拟录取情况,23拟录取情况,24复试名单,学费学制,,
山东科技大学,山东科技大学，简称“山科大，SDUST”，是一所山东省属重点高校，由山东省人民政府和中华人民共和国应急管理部共建，是国家卓越工程师教育培养计划、新工科研究与实践项目。,第四轮评级：计算机B-，软件无评级。,计算机科学与技术学院,"081200计算机科学与技术
25改考","① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408 计算机学科专业基础",,"1数据库系统
2软件工程
初复试占比6：4",85,最低分297,38/38/57/57/298,"一志愿复试103人,拟录取84人
一志愿均分324
拟录取均分329
最高分390,最低分298","一志愿复试名单：http://cise.sdust.edu.cn/home/page/details/catId/18/id/2015.html
一志愿复试成绩公示：http://cise.sdust.edu.cn/home/page/details/catId/18/id/2020.html","学制：3年
学费：8000/年",,
,,,,085404计算机技术,"① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④ 813 操作系统和数据结构",,"机试(浙江大学PTA系统),
内容:C语言与数据结构
初复试占比6：4",92,最低分312,38/38/57/57/341,"一志愿进复试116+2专项,拟录取94+2专项
一志愿均分362
拟录取均分365
最高分407,最低分341",,,,
济南大学,济南大学是山东省人民政府和教育部共建的综合性大学，是山东省重点建设大学、首批山东省应用型人才培养特色名校、教育部“卓越工程师教育培养计划”高校、山东省“冲一流”建设高校。,第四轮评级：计算机B-，软件无评级。,信息科学与工程学院,081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 847算法与数据结构","《C程序设计(第四版)》,谭浩强著,
《程序设计基础(C语言)》杨波,刘明军编,清华大学出版社
",《高级程序设计》机试,25,273,38/38/57/57/273,"最高分：344
最低分：287
平均分：308","复试名单：https://yanzhao.ujn.edu.cn/zsFsmdGbjh/enterQueryFsmdGs?nd=2024
","学制：3年
学费：全8000/年，非全10000/年",,
,,,,085404计算机技术,"① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④ 847算法与数据结构",,,71,307,38/38/57/57/302,"最高分：401
最低分：307
平均分：347",,,,
,,,人工智能研究院,081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 847算法与数据结构",,,19,273,38/38/57/57/273,"最高分：350
最低分：294
平均分：323",,,,
,,,,085410人工智能,"① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④ 847算法与数据结构",,,15,287,38/38/57/57/278,"最高分：355
最低分：278
平均分：315",,,,
,,,网络环境智能计算技术重点实验室,081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 847算法与数据结构",,,10,273,38/38/57/57/273,"最高分：329
最低分：329
平均分：329",,,,
"同济大学
985",同济大学简称“同济”，是教育部直属并与上海市共建的全国重点大学；国家“世界一流大学建设高校”，国家“211工程”和“985工程”建设高校。,第四轮评级：计算机B+，软件A。,电子与信息工程学院,081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,"综合能力测试
复试内容包括:专业课(笔试,100分,其中计算机科学与技术/电子信息(计算机与智能技术)的专业课分数中,机试编程占40%)、外语听力与口语(口试,50分)、专业外语(笔试,50分)、专业综合(口试,150分),合计350分。",24,330/55/80,50/85/335,"最高分：401
最低分：339
平均分：364",官网上没有找到拟录取名单,"学制：硕士研究生学制一般为2.5年
学费：
软件工程/计算机学硕8000/年
软件工程/计算机专硕20000/年",,
,,,,085400电子信息-计算机与智能技术,,,,32,330/55/80,335/50/85,"专硕所有方向计划招生126人
拟录取均分372
最高411,最低331",,,,
,,,软件学院,083500软件工程,,,"专业课笔试，。笔试试卷是全英文的,包含高数、数据结构、数据库、C语言等科目。",22,310/55/55/70/80,55/90/330,"最高分：409
最低分：341
平均分：370",,,,
