院校名称,院校简介,计算机评级,招生院系,专业代码,初试科目,参考书,复试科目,24招生人数,24复试线,23复试线,23拟录取情况,24拟录取情况,24拟录取名单,学费学制,
"安徽大学
24改考",安徽大学（Anhui University），简称安大，位于安徽省合肥市，是国家“双一流”和“211工程”建设首批入列高校，是安徽省人民政府与教育部共建高校，是安徽省属重点综合性大学。,第四轮评级：计算机B，软件B-。,计算机科学与技术学院,081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,"F67计算机专业综合
(数据库原理、高级语言程序设计)",109,298/38/57,311/38/57,无参考意义，原来考数据结构和操作系统,323-389,"一志愿复试名单：https://graschool.ahu.edu.cn/2024/0328/c9537a332150/page.htm
拟录取名单：https://graschool.ahu.edu.cn/2024/0426/c9539a338074/page.htm
最后一列给你放了一志愿复试名单的分数段","学制：3年
学术学位硕士研究生（所有专业）8000元/（生·年）。
专业学位硕士为11000元/（生·年）。",
,,,,083500软件工程,,,,20,,273/38/57,,297-354,,,
,,,,085400电子信息-计算机技术,,,,133,,300/38/57,,298-387,,,
,,,,085400电子信息-人工智能,,,,20,,279/38/57,,306-360,,,
,,,,085400电子信息-网络与信息安全,,,,20,,300/38/57,,314-355,,,
,,,,085400电子信息-软件工程,,,,20,,300/38/57,,300-355,,,
,,,人工智能学院,081200计算机科学与技术,,,,32,,273/38/57,,314-394,,,
,,,,085400电子信息-人工智能,,,,63,296/38/57,273/38/57,,296-370,,,
合肥工业大学,合肥工业大学（Hefei University of Technology），是中华人民共和国教育部直属的全国重点大学，由教育部、安徽省人民政府、工业和信息化部和国家国防科技工业局共建，是国家“世界一流学科建设高校”，国家“211工程”建设高校，国家“985工程优势学科创新平台”建设高校。,第四轮评级：计算机B+，软件工程B。,计算机与信息学院,081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,复试：计算机科学与技术学科专业综合，覆盖范围程序设计+数据库系统,65,344/37/56,333/38/57,"最高分：406
最低分：330
平均分：362",,"一志愿复试名单：https://yjszs.hfut.edu.cn/_upload/article/files/9f/fa/6f9c1f054a0da3360361fc21d72c/e62c225f-2fc2-4146-b839-8193cc6556ea.pdf
一志愿复试结果：https://ci.hfut.edu.cn/info/1063/14738.htm","学制：3年
学费：全日制学术学位硕士研究生：8000元/学年
全日制电子信息硕士研究生：8000元/学年
非全日制电子信息硕士研究生：12000元/学年",
,,,,083500软件工程,,,复试软：件工程学科专业综合，覆盖范围程序设计+软件工程,10,327/37/56,298/38/57,"最高分：406
最低分：330
平均分：362",,,,
,,,,085400电子信息-计算机技术,"① 101 思想政治理论
② 202英语（二）
③ 301 数学（一）
④ 408计算机学科专业基础",,"复试：计算机科学与技术学科专业综合，覆盖范围程序设计+数据库系统
",70,336/37/56,330/38/57,"最高分：406
最低分：330
平均分：362",,,,
,,,,085400电子信息-人工智能,,,,46,327/37/56,296/38/57,"最高分：392
最低分：296
平均分：345",,,,
