        院校,院校简介,计算机评级,招生院系,专业代码,初试科目,参考书,复试科目,24招生人数,24复试线,23复试线,23拟录取情况,24拟录取情况,24拟录取名单,学费学制,
"福州大学
211",福州大学（Fuzhou University），简称福大，创建于1958年，是国家“世界一流学科建设高校”，国家“211工程”重点建设高校，国家教育部、国家国防科技工业局与福建省人民政府共建高校，福建省三所重点建设的高水平大学之一，福建省一流大学建设高校。,第四轮评级：计算机B-，软件工程B-。,计算机与大数据学院,081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,"面向对象分析与设计、计算机网络等
不招收同等学力考生
初复试占比7：3",23,328/37/56,最低分306,"一志愿复试50人,拟录取40人
一志愿复试均分330
最高分380,最低分306
拟录取均分335
最高分380,最低分306","最高分：381
最低分：328","一志愿复试名单：https://ccds.fzu.edu.cn/info/1138/10360.htm
拟录取情况公示：https://ccds.fzu.edu.cn/info/1138/10376.htm","学制：全日制3年
学费：全日制非定向硕士研究生：8000元/学年
非全日制电子信息：4.5万全程",
,,,,083500软件工程,,,"操作系统、面向对象分析与设计等
不招收同等学力考生",8,328/37/56,最低分278,"一志愿复试4人,拟录取4人
拟录取均分318
最高分349,最低分278","最高分：354
最低分：288(专项)",,,
,,,,085400电子信息-计算机技术,"① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④ 408计算机学科专业基础",,"操作系统、计算机网络等
初复试占比7：3，不招收同等学力考生",71,332,最低348,"最高分：413
最低分：348
平均分：370","最高分：409
最低分：329","拟录取名单：https://ccds.fzu.edu.cn/info/1138/10377.htm

复试名单：https://ccds.fzu.edu.cn/info/1138/10363.htm",,
,,,,085400电子信息-软件工程,,,"操作系统、面向对象分析与设计等
初复试占比7：3，不招收同等学力考生",18,289,,"最高分：395
最低分：350
平均分：367","最高分：396
最低分：289",,,
,,,,085400电子信息-人工智能,,,"计算机操作系统、人工智能
初复试占比7：3，不招收同等学力考生",22,285,,"最高分：408
最低分：348
平均分：374","最高分：377
最低分：285",,,
"厦门大学
985",厦门大学（Xiamen University），简称厦大（XMU），是由中华人民共和国教育部直属副部级综合性研究型全国重点大学，教育部、国家国防科技工业局、福建省和厦门市重点共建高校。厦门大学先后入选世界一流大学建设高校（A类），国家“211工程“和“985工程”重点建设高校。,第四轮评级：计算机B+，软件B。,人工智能系,085400电子信息-人工智能,"① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④ 408计算机学科专业基础",,上机，使用C语言编程,17,315/50/70,373,"最高分：421
最低分：375
平均分：392","最高分：395
最低分：352","拟录取名单：https://informatics.xmu.edu.cn/info/1050/36869.htm
复试名单：https://cogsci.xmu.edu.cn/info/1331/5402.htm","学制：均为3年
学费：全日制学术学位和全日制专业学位硕士研究生的学费标准为:全程3.3万元",
,,,人工智能研究院,085400电子信息-人工智能,,,"专业题:考试内容为计算机基础,人工智能基础",25,315/50/70,最低分348,"一志愿进复试97+1专项,拟录取48+1专项
一志愿复试均分370
拟录取均分376
最高分417,最低分348","最高分：402
最低分：316",,,
,,,信息学院-软件工程系,085400电子信息-软件工程,,,笔试课程包括:数据结构与算法、操作系统、计算机网络,10,315/50/75,351,"最高分：405
最低分：381
平均分：391","最高分：378
最低分：320",,,
,,,信息学院-计算机科学系,081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,上机考试C语言以及数据结构相关,12,350/50/70,310/50/70,"一志愿进复试9人,拟录取7人
一志愿复试均分340
拟录取均分340
最高398,最低311","最高分：394
最低分：351",,,
,,,,085400电子信息-计算机技术,"① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④ 408计算机学科专业基础",,,35,343/50/70,350,"最高分：426
最低分：350
平均分：387","最高分：419
最低分：343",,,
