院校名称,院校简介,计算机评级,招生院系,专业代码,初试科目,参考书,复试科目,24招生人数,24复试线,23复试线,23拟录取情况,24拟录取名单,学费学制,,
"西北工业大学
24调整了大纲内容",西北工业大学简称“西工大”，位于陕西省会西安，直属中华人民共和国工业和信息化部，是中国唯一一所以同时发展航空、航天、航海（三航）工程教育和科学研究为特色的全国重点大学，位列国家“世界一流大学建设高校A类”、985工程、211工程。,第四轮评级：计算机A-；软件B+。,计算机学院,081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 801 计算机专业基础
(数据结构+组成原理)各占75",,"C语言上机考试
同等学力加试科目:操作系统/计算机网络",100【含推免】,310/50/70,310/50/70,"一志愿进复试13人,拟录取11人
一志愿复试均分382
高分431,最低分311","拟录取名单：https://jsj.nwpu.edu.cn/info/1599/21715.htm
一志愿复试名单：https://jsj.nwpu.edu.cn/info/1599/21585.htm","硕士研究生学制为3年
全日制硕士研究生8000元/生·年",,
,,,,085400电子信息-计算机技术,"① 101 思想政治理论
② 202 英语（二）
③ 302 数学（二）
④ 801 计算机专业基础
(数据结构+组成原理)各占75",,,196【含推免】,350/50/70,365/50/70,"一志愿进复试150人,拟录取115人
拟录取均分393
最高分431,最低分335",,,,
,,,软件学院,083500软件工程,"① 101 思想政治理论
② 201 英语（一）
③ 301 数学（一）
④ 879 专业综合
(数据结构+计算机网络)各占75",,"编程机试
同等学力加试科目：软件工程、C语言程序设计",10【含推免】,310/50/70,,"校内调剂名单11人,拟录取6人
校内调剂名单均分377
最高394,最低367","拟录取名单：https://ruanjian.nwpu.edu.cn/info/1133/9006.htm
一志愿复试名单：https://ruanjian.nwpu.edu.cn/info/1133/8916.htm",,,
,,,,085400电子信息-软件工程,"① 101 思想政治理论
② 202 英语（二）
③ 302 数学（二）
④ 879 专业综合
(数据结构+计算机网络)各占75",,,全日制和非全共计165【含推免】,315/50/70,365/50/70,"一志愿进复试125人,拟录取96人
一志愿复试均分388
拟录取均分391
最高分445,最低分365",,,,
,,,网络空间安全学院,083900网络空间安全,"① 101 思想政治理论
② 201 英语（一）
③ 301 数学（一）
④ 847 计算机原理及网络
(组成原理+计算机网络)各占75",,"网络空间安全专业综合
同等学力加试科目:数据结构、网络安全基础",21【含推免】,310/50/70,310/50/70,"一志愿进复试2人,拟录取2人
拟录取均分334","拟录取名单：https://wlkjaqxy.nwpu.edu.cn/info/1044/7180.htm
一志愿复试名单：https://wlkjaqxy.nwpu.edu.cn/info/1044/7000.htm",,,
,,,,085400电子信息-网络与信息安全,"① 101 思想政治理论
② 202 英语（二）
③ 302 数学（二）
④ 847 计算机原理及网络
(组成原理+计算机网络)各占75",,,全日制和非全共计74【含推免】,310/50/70,310/50/70,"一志愿进复试72人,拟录取57人
一志愿复试均分351
拟录取平均分355
最高分406,最低分313",,,,
西安交通大学,西安交通大学（Xi’an Jiaotong University）简称“西安交大”，是中华人民共和国教育部直属的综合性研究型全国重点大学，由教育部与国家国防科技工业局共建，位列世界一流大学建设高校A类、国家“七五”“八五”重点建设高校、国家“211工程”和“985工程”首批重点建设高校,第四轮评级：计算机A-，软件B。,"电子与信息学部
-计算机科学与技术学院",081200计算机科学与技术,"① 101 思想政治理论
② 201 英语（一）
③ 301 数学（一）
④ 814 计算机基础综合
（数据结构+组成原理）",,复试科目及范围：（1）以下六门科目中任选二门：操作系统、离散数学、算机网络、编译原理、数据库原理、软件工程。（2）必须参加机试并取得合格成绩，但是CCF CSP认证成绩在350分（含）以上者可免机试，直接认定机试合格。,8,350/50/90,335/50/90,"一志愿复试23人,拟录取15人,复录比:1.5:1
一志愿均分360
最高分415,最低分335
拟录取均分372
最高分415,最低分343",一志愿复试名单：http://www.cs.xjtu.edu.cn/info/1233/3336.htm,"学制：3年
学费：学硕8000/年；
专硕13200/年",,
,,,,085400电子信息-计算机技术,"① 101 思想政治理论
② 202 英语（二）
③ 302 数学（二）
④ 912 计算机技术基础
（数据结构+组成原理）",,,50,370/50/90,380/55/60/90/90,"一志愿复试105人,拟录取73人,复录比:1.43:1
一志愿均分400
最高分436,最低分380
拟录取均分405
最高分436,最低分383",,,,
,,,"电子与信息学部
-网络空间安全学院",083900网络空间安全,"① 101 思想政治理论
② 201 英语（一）
③ 301 数学（一）
④ 814 计算机基础综合
（数据结构+组成原理）",,网络空间认知专业课,5,335/50/50/80/85,325/50/45/80/80,"一志愿拟录取3人
拟录取均分337
最高343,最低327","拟录取名单：http://cybersec.xjtu.edu.cn/info/1017/1891.htm
一志愿复试名单：http://cybersec.xjtu.edu.cn/info/1017/1881.htm",,,
,,,,085400电子信息-网络与信息安全,"① 101 思想政治理论
② 202 英语（二）
③ 302 数学（二）
④ 912 计算机技术基础
（数据结构+组成原理）",,,12,340/50/50/80/85,335/50/45/80/80,"一志愿拟录取16人+1专项
拟录取均分379,
最高420,最低339",,,,
